"","City","Month","Sample_type","Date","DIC","DOC","NO2","NO3","NH4","Water.level","T","pH","OD","Sequencing_run","is.neg"
"SL-09-R","SL","May","River","18-May-20","17.3","13.3","0.00663","0.153769","0.0326775","","7.39","12.4","103.7","2","FALSE"
"SL-09-S-00-bac","SL","May","Soil","18-May-20","","","","","","","","","","3","FALSE"
"SL-10-dR1","SL","June","Discharge-River","17-Jun-20","1.4","0.8","0.00419","0.03894","0.008","","","","","2","FALSE"
"SL-10-gw","SL","June","Groundwater","17-Jun-20","2.8","0","0.00451","0.09284","0.009","5.89","6.46","8.3","98.8","2","FALSE"
"SL-10-R","SL","June","River","17-Jun-20","25.6","3.3","0.00943","0.24498","0.026","","7.33","18.2","97.3","2","FALSE"
"SL-10-S-00-bac","SL","June","Soil","17-Jun-20","","","","","","","","","","3","FALSE"
"SL-11-gw","SL","July","Groundwater","15-Jul-20","2.2","0.4","0.00347","0.04812","0.008","6.2","5.74","8.72","99.1","2","FALSE"
"SL-11-R","SL","July","River","15-Jul-20","23","4.7","0.01404","0.18951","","","7.5","16.84","","2","FALSE"
"SL-11-S-00-bac","SL","July","Soil","15-Jul-20","","","","","","","","","","3","FALSE"
"SL-12-gw","SL","Aug","Groundwater","17-Aug-20","2.1","0.2","0.008","0.074","0.007","6.15","6.6","10.8","94.3","2","FALSE"
"SL-12-R","SL","Aug","River","17-Aug-20","24.2","4.1","0.014","0.153","0.025","","7.39","17.8","93.1","2","FALSE"
"SL-12-S-00-bac","SL","Aug","Soil","17-Aug-20","","","","","","","","","","3","FALSE"
